order_id,date,city,product,category,customer_type,payment_mode,quantity,price,total_sales
1,2024-02-26,Pune,Laptop,Electronics,Returning,Cash,2,7988,15976
2,2024-02-06,Delhi,Laptop,Electronics,Returning,Card,3,5729,17187
3,2024-01-05,Bangalore,Tablet,Electronics,New,Card,2,65272,130544
4,2024-02-27,Mumbai,Tablet,Electronics,Returning,UPI,2,7260,14520
5,2024-01-24,Hyderabad,Phone,Electronics,New,Card,2,33725,67450
6,2024-01-16,Delhi,Laptop,Electronics,Returning,Cash,3,72672,218016
7,2024-01-04,Bangalore,Tablet,Electronics,New,Card,4,54944,219776
8,2024-01-30,Hyderabad,Phone,Electronics,Returning,Card,2,16498,32996
9,2024-01-06,Hyderabad,Tablet,Electronics,New,Cash,2,36552,73104
10,2024-02-08,Hyderabad,Phone,Electronics,New,UPI,2,46431,92862
11,2024-01-17,Delhi,Headphones,Electronics,New,Card,1,34479,34479
12,2024-02-06,Pune,Headphones,Electronics,New,Cash,5,24403,122015
13,2024-01-29,Mumbai,Laptop,Electronics,Returning,Cash,2,13263,26526
14,2024-01-19,Pune,Laptop,Electronics,New,Card,2,70413,140826
15,2024-01-12,Delhi,Laptop,Electronics,Returning,UPI,5,16645,83225
16,2024-01-23,Delhi,Phone,Electronics,New,Card,5,19608,98040
17,2024-02-19,Pune,Phone,Electronics,Returning,UPI,4,68816,275264
18,2024-01-21,Pune,Laptop,Electronics,Returning,Card,5,26071,130355
19,2024-02-23,Delhi,Headphones,Electronics,New,UPI,2,9280,18560
20,2024-02-12,Bangalore,Laptop,Electronics,New,Cash,4,21166,84664
21,2024-01-31,Delhi,Headphones,Electronics,Returning,Cash,3,19781,59343
22,2024-01-15,Pune,Laptop,Electronics,New,Cash,3,48498,145494
23,2024-01-06,Delhi,Headphones,Electronics,New,UPI,1,66702,66702
24,2024-01-05,Bangalore,Tablet,Electronics,New,UPI,3,62412,187236
25,2024-02-17,Hyderabad,Headphones,Electronics,Returning,Cash,1,32168,32168
26,2024-02-06,Bangalore,Laptop,Electronics,New,Cash,1,68745,68745
27,2024-01-28,Bangalore,Phone,Electronics,New,UPI,3,6700,20100
28,2024-01-31,Delhi,Headphones,Electronics,Returning,Cash,1,43528,43528
29,2024-01-18,Hyderabad,Headphones,Electronics,New,Cash,4,61199,244796
